task_id,task_generation_config_json,env,domain,l1_category,l2_category,suggested_difficulty,suggested_hint,suggested_max_steps,suggested_split,metadata_json
navi_bench/craigslist/sf_books_search/0,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/bka"", ""task"": ""Browse free books that were posted today."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/bka?free=1&postedToday=1#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_books_search,easy,None,0,validation,None
navi_bench/craigslist/sf_cars_multiple_filters/0,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/cta"",""task"":""Find cars under $3,000 with images and automatic transmission."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/cta?hasPic=1&auto_transmission=1&max_price=3000#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_cars_multiple_filters,hard,null,0,validation,null
navi_bench/craigslist/sf_cars_basic_filters/1,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/cta"",""task"":""Browse electric or hybrid cars."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/cta?auto_fuel_type=2&auto_fuel_type=4#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_cars_basic_filters,easy,null,0,validation,null
navi_bench/craigslist/sf_cars_multiple_filters/2,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/cta"",""task"":""Find SUVs or pickup trucks with four-wheel drive."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/cta?auto_bodytype=10&auto_bodytype=4&auto_drivetrain=1#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_cars_multiple_filters,hard,null,0,validation,null
navi_bench/craigslist/sf_cars_multiple_filters/3,"{""_target_"": ""navi_bench.craigslist.craigslist_url_match.generate_task_config"", ""url"": ""https://sfbay.craigslist.org/search/cta"", ""task"": ""Find cars and trucks posted today with images priced under $5,000."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://sfbay.craigslist.org/search/cta?hasPic=1&max_price=5000&postedToday=1#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_cars_multiple_filters,medium,None,0,validation,None
navi_bench/craigslist/sf_cars_basic_filters/4,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/cta"",""task"":""Find older cars with manual transmission."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/cta?auto_transmission=2&max_auto_year=2010#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_cars_basic_filters,medium,null,0,validation,null
navi_bench/craigslist/sf_cars_multiple_filters/5,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/cta"",""task"":""Look for budget vehicles under $1,000 with images, automatic transmission, and clean titles."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/cta?hasPic=1&auto_transmission=1&srchType=T&max_price=1000#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_cars_multiple_filters,hard,null,0,validation,null
navi_bench/craigslist/sf_cars_multiple_filters/6,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/cta"",""task"":""Find trucks or SUVs with images, multiple body types, specific drivetrain and fuel options, under $1,000."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/cta?auto_bodytype=10&auto_bodytype=2&auto_bodytype=3&auto_bodytype=4&auto_drivetrain=1&auto_fuel_type=1&auto_fuel_type=2&auto_fuel_type=4&hasPic=1&max_price=1000#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_cars_multiple_filters,hard,null,0,validation,null
navi_bench/craigslist/sf_cars_basic_filters/7,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/cta"",""task"":""Browse gasoline cars sold directly by owners."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/cta?purveyor=owner&auto_fuel_type=1#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_cars_basic_filters,medium,null,0,validation,null
navi_bench/craigslist/sf_community_multiple_filters/6,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/cys"",""task"":""Browse community services excluding selected categories."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/cys?excats=80-2-1-56#search=2~thumb~0""]]}",real,craigslist,services,sf_community_multiple_filters,hard,null,0,validation,null
navi_bench/craigslist/sf_community_search/7,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/cys"",""task"":""Browse the newest community service postings."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/cys?sort=date#search=2~thumb~0""]]}",real,craigslist,services,sf_community_search,easy,null,0,validation,null
navi_bench/craigslist/sf_community_search/8,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/cys"",""task"":""Browse community services listings."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/cys#search=2~thumb~0""]]}",real,craigslist,services,sf_community_search,easy,null,0,validation,null
navi_bench/craigslist/sf_computers_multiple_filters/0,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/sya"",""task"":""Find computers with images priced between $100 and $500, sorted by lowest price."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/sya?hasPic=1&min_price=100&max_price=500&sort=priceasc#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_computers_multiple_filters,hard,null,0,validation,null
navi_bench/craigslist/sf_computers_basic_filters/1,"{""_target_"":""navi_bench.craigslist.craigslist_url_match.generate_task_config"",""url"":""https://sfbay.craigslist.org/search/sya"",""task"":""Browse new-condition computers with images only."",""location"":""San Francisco, CA, United States"",""timezone"":""America/Los_Angeles"",""gt_urls"":[[""https://sfbay.craigslist.org/search/sya?condition=10&hasPic=1#search=2~gallery~0""]]}",real,craigslist,marketplace,sf_computers_basic_filters,medium,null,0,validation,null
