task_id,task_generation_config_json,env,domain,l1_category,l2_category,suggested_difficulty,suggested_hint,suggested_max_steps,suggested_split,metadata_json
navi_bench/rent/chicago_pet_ac_fiber/0,"{""_target_"": ""navi_bench.rent.rent_url_match.generate_task_config"", ""url"": ""https://www.rent.com/"", ""task"": ""Find apartments, townhouses, condos, and houses for rent in Chicago, IL that are pet-friendly, have air conditioning and  AT&T Fiber internet."", ""location"": ""Chicago, IL, United States"", ""timezone"": ""America/Chicago"", ""gt_urls"": [[""https://www.rent.com/illinois/chicago/apartments_townhouses_condos_houses_air-conditioning_att-fiber_pet-friendly?source=homepage""]]}",real,rent,real_estate,chicago_pet_ac_fiber,hard,null,null,validation,null
navi_bench/rent/chicago_apartments_beds/0,"{""_target_"": ""navi_bench.rent.rent_url_match.generate_task_config"", ""url"": ""https://www.rent.com/"", ""task"": ""Find studio, 1-bedroom and 2-bedroom apartments for rent in Chicago, IL."", ""location"": ""Chicago, IL, United States"", ""timezone"": ""America/Chicago"", ""gt_urls"": [[""https://www.rent.com/illinois/chicago-apartments/studio_1-bedroom_2-bedroom?source=homepage""]]}",real,rent,real_estate,chicago_apartments_beds,medium,null,null,validation,null
navi_bench/rent/chicago_furnished_max_price/0,"{""_target_"": ""navi_bench.rent.rent_url_match.generate_task_config"", ""url"": ""https://www.rent.com/"", ""task"": ""Find furnished apartments, townhouses, condos and houses for rent in Chicago, IL with a maximum price of $1,700."", ""location"": ""Chicago, IL, United States"", ""timezone"": ""America/Chicago"", ""gt_urls"": [[""https://www.rent.com/illinois/chicago/apartments_townhouses_condos_houses_max-price-1700_furnished?source=homepage""]]}",real,rent,real_estate,chicago_furnished_max_price,medium,null,null,validation,null
navi_bench/rent/denver_beds_baths_elevator/0,"{""_target_"": ""navi_bench.rent.rent_url_match.generate_task_config"", ""url"": ""https://www.rent.com/"", ""task"": ""Find apartments, townhouses, condos, and houses for rent in Denver, CO with 2 to 3 bedrooms, having at least 2 bathrooms and an elevator."", ""location"": ""Denver, CO, United States"", ""timezone"": ""America/Denver"", ""gt_urls"": [[""https://www.rent.com/colorado/denver/apartments_townhouses_condos_houses_2-bedroom_3-bedroom_2-bathroom_elevator""]]}",real,rent,real_estate,denver_beds_baths_elevator,medium,null,null,validation,null
navi_bench/rent/denver_furnished_houses_dog/0,"{""_target_"": ""navi_bench.rent.rent_url_match.generate_task_config"", ""url"": ""https://www.rent.com/"", ""task"": ""Find furnished houses for rent in Denver, CO that are dog-friendly."", ""location"": ""Denver, CO, United States"", ""timezone"": ""America/Denver"", ""gt_urls"": [[""https://www.rent.com/colorado/denver-houses/furnished_dog-friendly?property-type=houses""]]}",real,rent,real_estate,denver_furnished_houses_dog,medium,null,null,validation,null
navi_bench/rent/denver_price_laundry_size/0,"{""_target_"": ""navi_bench.rent.rent_url_match.generate_task_config"", ""url"": ""https://www.rent.com/"", ""task"": ""Find apartments, townhouses, condos and houses for rent in Denver, CO under $2,000 with an in-unit washer, dryer and at least having an area of 1,000 square feet."", ""location"": ""Denver, CO, United States"", ""timezone"": ""America/Denver"", ""gt_urls"": [[""https://www.rent.com/colorado/denver/apartments_townhouses_condos_houses_max-price-2000_washer-dryer-in-unit_sqft-min-1000""]]}",real,rent,real_estate,denver_price_laundry_size,hard,null,null,validation,null
navi_bench/rent/cambridge_furnished_laundry_size/0,"{""_target_"": ""navi_bench.rent.rent_url_match.generate_task_config"", ""url"": ""https://www.rent.com/"", ""task"": ""Find furnished 2-bedroom apartments, townhouses, condos and houses for rent in Cambridge, MA with a laundry facility and at least 500 square feet."", ""location"": ""Cambridge, MA, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.rent.com/massachusetts/cambridge/apartments_townhouses_condos_houses_2-bedroom_furnished_laundry-facility_sqft-min-500""]]}",real,rent,real_estate,cambridge_furnished_laundry_size,hard,null,null,validation,null
navi_bench/rent/boston_fitness_sort_price/0,"{""_target_"": ""navi_bench.rent.rent_url_match.generate_task_config"", ""url"": ""https://www.rent.com/"", ""task"": ""Find apartments, townhouses, condos and houses for rent in Boston, MA with a fitness center facility and sorted by lowest price."", ""location"": ""Boston, MA, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.rent.com/massachusetts/boston/apartments_townhouses_condos_houses_fitness-center_sort-price-low""]]}",real,rent,real_estate,boston_fitness_sort_price,medium,null,null,validation,null
navi_bench/rent/boston_apts_price_range_fitness/0,"{""_target_"": ""navi_bench.rent.rent_url_match.generate_task_config"", ""url"": ""https://www.rent.com/"", ""task"": ""Find apartments and townhouses for rent in Boston, MA priced between $2,000 and $2,800 with a fitness center, sorted by lowest price."", ""location"": ""Boston, MA, United States"", ""timezone"": ""America/New_York"", ""gt_urls"": [[""https://www.rent.com/massachusetts/boston/townhouses_apartments_min-price-2000_max-price-2800_fitness-center_sort-price-low""]]}",real,rent,real_estate,boston_apts_price_range_fitness,hard,null,null,validation,null
navi_bench/rent/la_price_amenities_sort/0,"{""_target_"": ""navi_bench.rent.rent_url_match.generate_task_config"", ""url"": ""https://www.rent.com/"", ""task"": ""Find homes for rent in Los Angeles, CA priced under $2,500 with a pool and fitness center, sorted by lowest price."", ""location"": ""Los Angeles, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""gt_urls"": [[""https://www.rent.com/california/los-angeles/apartments_townhouses_condos_houses_max-price-2500_fitness-center_pool_sort-price-low""]]}",real,rent,real_estate,la_price_amenities_sort,hard,null,null,validation,null
